sid,season,name,iso_time,latitude,longitude,wind,pressure,storm_speed,storm_direction,distance_to_land,delta_latitude,delta_longitude,future_wind,future_pressure,forecast_hours
1980214N11330,1980,ALLEN,1980-08-01 00:00:00,10.8,-34.3,30.0,1010.0,21.0,265.0,1651,-0.10000000000000142,-2.1000000000000014,30.0,1009.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 03:00:00,10.7,-35.3,30.0,1010.0,21.0,265.0,1603,0.0,-2.200000000000003,30.0,1009.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 06:00:00,10.7,-36.4,30.0,1009.0,21.0,270.0,1569,0.0,-2.200000000000003,30.0,1008.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 09:00:00,10.7,-37.5,30.0,1009.0,22.0,270.0,1545,0.0,-2.200000000000003,30.0,1007.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 12:00:00,10.7,-38.6,30.0,1008.0,21.0,270.0,1529,0.0,-2.1000000000000014,30.0,1006.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 15:00:00,10.7,-39.7,30.0,1007.0,21.0,270.0,1466,0.10000000000000142,-2.0999999999999943,33.0,1006.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 18:00:00,10.7,-40.7,30.0,1006.0,21.0,275.0,1371,0.3000000000000007,-2.0999999999999943,35.0,1005.0,6.0
1980214N11330,1980,ALLEN,1980-08-01 21:00:00,10.8,-41.8,33.0,1006.0,21.0,280.0,1275,0.3999999999999986,-2.0,40.0,1003.0,6.0
1980214N11330,1980,ALLEN,1980-08-02 00:00:00,11.0,-42.8,35.0,1005.0,20.0,280.0,1200,0.40000000000000036,-2.0,45.0,1000.0,6.0
1980214N11330,1980,ALLEN,1980-08-02 03:00:00,11.2,-43.8,40.0,1003.0,20.0,280.0,1131,0.40000000000000036,-2.0,50.0,998.0,6.0
1980214N11330,1980,ALLEN,1980-08-02 06:00:00,11.4,-44.8,45.0,1000.0,21.0,285.0,1070,0.5,-2.1000000000000014,55.0,995.0,6.0
1980214N11330,1980,ALLEN,1980-08-02 09:00:00,11.6,-45.8,50.0,998.0,21.0,285.0,1017,0.5,-2.200000000000003,58.0,993.0,6.0
